name,street,city,state,postalCode,property_type,url,corrected_price,beds,bath,new_floor_size,listed_days,ppsf
"39507 Ross Cmn, Fremont, CA 94538",39507 Ross Cmn,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/39507-Ross-Cmn-Fremont-CA-94538/2077585073_zpid/,2345.0,2,2,900.0,1.0,2.6055555555555556
"40660 Fremont Blvd, Fremont, CA 94538",40660 Fremont Blvd,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/40660-Fremont-Blvd-Fremont-CA-94538/2081298630_zpid/,3990.0,3,3,2126.0,1.0,1.876763875823142
"33208 Lake Superior Ct, Fremont, CA 94555",33208 Lake Superior Ct,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/33208-Lake-Superior-Ct-Fremont-CA-94555/25048669_zpid/,3500.0,3,2,1594.0,1.0,2.1957340025094103
"3658 Capitol Ave #316a, Fremont, CA 94538",3658 Capitol Ave #316A,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/3658-Capitol-Ave-316A-Fremont-CA-94538/2077593682_zpid/,3650.0,2,5,1350.0,1.0,2.7037037037037037
"41496 Timber Creek Ter, Fremont, CA 94539",41496 Timber Creek Ter,Fremont,CA,94539,Townhouse for rent,https://www.zillow.com/homedetails/41496-Timber-Creek-Ter-Fremont-CA-94539/25032917_zpid/,3350.0,3,5,1620.0,1.0,2.067901234567901
"4141 Deep Creek Rd Spc 50, Fremont, CA 94555",4141 Deep Creek Rd SPC 50,Fremont,CA,94555,Apartment for rent,https://www.zillow.com/homedetails/4141-Deep-Creek-Rd-SPC-50-Fremont-CA-94555/2146004738_zpid/,2350.0,2,1,900.0,1.0,2.611111111111111
"4627 Norwood Ter, Fremont, CA 94538",4627 Norwood Ter,Fremont,CA,94538,Townhouse for rent,https://www.zillow.com/homedetails/4627-Norwood-Ter-Fremont-CA-94538/25040559_zpid/,2695.0,2,5,1027.0,1.0,2.6241480038948395
"41432 Apricot Ln, Fremont, CA 94539",41432 Apricot Ln,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/41432-Apricot-Ln-Fremont-CA-94539/25033448_zpid/,3000.0,3,2,1434.0,1.0,2.092050209205021
"4851 Deadwood Dr, Fremont, CA 94536",4851 Deadwood Dr,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/4851-Deadwood-Dr-Fremont-CA-94536/25006764_zpid/,3300.0,3,2,1380.0,1.0,2.391304347826087
"37402 Sequoia Rd, Fremont, CA 94536",37402 Sequoia Rd,Fremont,CA,94536,Townhouse for rent,https://www.zillow.com/homedetails/37402-Sequoia-Rd-Fremont-CA-94536/2084106589_zpid/,3950.0,3,3,1652.0,1.0,2.391041162227603
