name,street,city,state,postalCode,floorSize,price,type_of_house,property_type,no_of_days,url
"39507 Ross Cmn, Fremont, CA 94538",39507 Ross Cmn,Fremont,CA,94538,900,"$2,345/mo",2 bds2 ba900 sqft,Apartment for rent,25 minutes ago,https://www.zillow.com/homedetails/39507-Ross-Cmn-Fremont-CA-94538/2077585073_zpid/
"40660 Fremont Blvd, Fremont, CA 94538",40660 Fremont Blvd,Fremont,CA,94538,"2,126","$3,990/mo","3 bds3 ba2,126 sqft",House for rent,57 minutes ago,https://www.zillow.com/homedetails/40660-Fremont-Blvd-Fremont-CA-94538/2081298630_zpid/
"33208 Lake Superior Ct, Fremont, CA 94555",33208 Lake Superior Ct,Fremont,CA,94555,"1,594","$3,500/mo","3 bds2 ba1,594 sqft",House for rent,9 hours ago,https://www.zillow.com/homedetails/33208-Lake-Superior-Ct-Fremont-CA-94555/25048669_zpid/
"3658 Capitol Ave #316a, Fremont, CA 94538",3658 Capitol Ave #316A,Fremont,CA,94538,"1,350","$3,650/mo","2 bds2.5 ba1,350 sqft",Apartment for rent,13 hours ago,https://www.zillow.com/homedetails/3658-Capitol-Ave-316A-Fremont-CA-94538/2077593682_zpid/
"41496 Timber Creek Ter, Fremont, CA 94539",41496 Timber Creek Ter,Fremont,CA,94539,"1,620","$3,350/mo","3 bds2.5 ba1,620 sqft",Townhouse for rent,15 hours ago,https://www.zillow.com/homedetails/41496-Timber-Creek-Ter-Fremont-CA-94539/25032917_zpid/
"4141 Deep Creek Rd Spc 50, Fremont, CA 94555",4141 Deep Creek Rd SPC 50,Fremont,CA,94555,900,"$2,350/mo",2 bds1 ba900 sqft,Apartment for rent,18 hours ago,https://www.zillow.com/homedetails/4141-Deep-Creek-Rd-SPC-50-Fremont-CA-94555/2146004738_zpid/
"4627 Norwood Ter, Fremont, CA 94538",4627 Norwood Ter,Fremont,CA,94538,"1,027","$2,695/mo","2 bds1.5 ba1,027 sqft",Townhouse for rent,18 hours ago,https://www.zillow.com/homedetails/4627-Norwood-Ter-Fremont-CA-94538/25040559_zpid/
"41432 Apricot Ln, Fremont, CA 94539",41432 Apricot Ln,Fremont,CA,94539,"1,434","$3,000/mo","3 bds2 ba1,434 sqft",House for rent,18 hours ago,https://www.zillow.com/homedetails/41432-Apricot-Ln-Fremont-CA-94539/25033448_zpid/
"4851 Deadwood Dr, Fremont, CA 94536",4851 Deadwood Dr,Fremont,CA,94536,"1,380","$3,300/mo","3 bds2 ba1,380 sqft",House for rent,20 hours ago,https://www.zillow.com/homedetails/4851-Deadwood-Dr-Fremont-CA-94536/25006764_zpid/
"37402 Sequoia Rd, Fremont, CA 94536",37402 Sequoia Rd,Fremont,CA,94536,"1,652","$3,950/mo","3 bds3 ba1,652 sqft",Townhouse for rent,22 hours ago,https://www.zillow.com/homedetails/37402-Sequoia-Rd-Fremont-CA-94536/2084106589_zpid/
"5654 Greeley Pl, Fremont, CA 94538",5654 Greeley Pl,Fremont,CA,94538,"1,387","$3,100/mo","3 bds2 ba1,387 sqft",House for rent,23 hours ago,https://www.zillow.com/homedetails/5654-Greeley-Pl-Fremont-CA-94538/25045013_zpid/
"34754 Fairchild Cmn, Fremont, CA 94555",34754 Fairchild Cmn,Fremont,CA,94555,"1,102","$3,000/mo","2 bds2.5 ba1,102 sqft",Condo for rent,1 day ago,https://www.zillow.com/homedetails/34754-Fairchild-Cmn-Fremont-CA-94555/25056121_zpid/
